Food;Category;SubCategory;Samples;Below LOQ;% Below LOQ;Below MRL;% Below MRL;Above MRL;% Above MRL
Castor beans;Other plant products;Oilseeds and oil fruits;5;5;100;0;0;0;0
Safflower seeds;Other plant products;Oilseeds and oil fruits;3;3;100;0;0;0;0
Oil palms kernels;Other plant products;Oilseeds and oil fruits;2;2;100;0;0;0;0
Oil palms fruits;Other plant products;Oilseeds and oil fruits;2;1;50;1;50;0;0
Cotton seeds;Other plant products;Oilseeds and oil fruits;1;1;100;0;0;0;0
Gold of pleasure seeds;Other plant products;Oilseeds and oil fruits;1;0;0;1;100;0;0
Beans (dry);Other plant products;Pulses;326;281;86.2;32;9.8;13;4
Lentils (dry);Other plant products;Pulses;239;198;82.8;39;16.3;2;0.8
Peas (dry);Other plant products;Pulses;82;62;75.6;15;18.3;5;6.1
Pulses (dry) n/s;Other plant products;Pulses;16;16;100;0;0;0;0
Lupins (dry);Other plant products;Pulses;5;3;60;2;40;0;0
Ginger;Other plant products;Spices;84;54;64.3;24;28.6;6;7.1
Peppercorn (black, green, white);Other plant products;Spices;43;12;27.9;21;48.8;10;23.3
Vanilla pods;Other plant products;Spices;41;41;100;0;0;0;0
Cumin seed;Other plant products;Spices;29;9;31;7;24.1;13;44.8
Spices n/s;Other plant products;Spices;23;19;82.6;4;17.4;0;0
Turmeric/curcuma;Other plant products;Spices;20;15;75;5;25;0;0
Capers;Other plant products;Spices;12;8;66.7;4;33.3;0;0
Fennel seed;Other plant products;Spices;9;5;55.6;2;22.2;2;22.2
Cardamom;Other plant products;Spices;8;6;75;2;25;0;0
Cinnamon;Other plant products;Spices;6;5;83.3;1;16.7;0;0
Nutmeg;Other plant products;Spices;6;2;33.3;4;66.7;0;0
Caraway;Other plant products;Spices;5;4;80;1;20;0;0
Allspice;Other plant products;Spices;5;2;40;1;20;2;40
Anise/aniseed;Other plant products;Spices;4;2;50;2;50;0;0
Dill seed;Other plant products;Spices;3;2;66.7;1;33.3;0;0
Cloves;Other plant products;Spices;3;3;100;0;0;0;0
Coriander seed;Other plant products;Spices;3;1;33.3;1;33.3;1;33.3
Celery seed;Other plant products;Spices;2;1;50;1;50;0;0
Saffron;Other plant products;Spices;1;0;0;1;100;0;0
Black caraway/black cumin;Other plant products;Spices;1;0;0;1;100;0;0
Sugar beet roots;Other plant products;Sugar plants;16;16;100;0;0;0;0
Sugar canes;Other plant products;Sugar plants;12;12;100;0;0;0;0
Chicory roots;Other plant products;Sugar plants;11;10;90.9;1;9.1;0;0
Sugar plants n/s;Other plant products;Sugar plants;3;3;100;0;0;0;0
Teas;Other plant products;Tea, coffee, herbal infusions, cocoa;1054;383;36.3;420;39.8;251;23.8
Coffee beans;Other plant products;Tea, coffee, herbal infusions, cocoa;282;243;86.2;37;13.1;2;0.7
Tea, coffee, herbal infusions, cocoa n/s;Other plant products;Tea, coffee, herbal infusions, cocoa;176;115;65.3;53;30.1;8;4.5
Cocoa beans;Other plant products;Tea, coffee, herbal infusions, cocoa;66;61;92.4;4;6.1;1;1.5
Strawberry leaves;Other plant products;Tea, coffee, herbal infusions, cocoa;20;6;30;13;65;1;5
Camomille flowers;Other plant products;Tea, coffee, herbal infusions, cocoa;13;11;84.6;2;15.4;0;0
Rooibos leaves;Other plant products;Tea, coffee, herbal infusions, cocoa;10;9;90;0;0;1;10
Matè;Other plant products;Tea, coffee, herbal infusions, cocoa;3;3;100;0;0;0;0
Ginseng root;Other plant products;Tea, coffee, herbal infusions, cocoa;1;1;100;0;0;0;0
Rose petals;Other plant products;Tea, coffee, herbal infusions, cocoa;1;1;100;0;0;0;0
Lime/linden flowers;Other plant products;Tea, coffee, herbal infusions, cocoa;1;1;100;0;0;0;0
Hops, dried;Other plant products;Hops;33;3;9.1;26;78.8;4;12.1
Baby foods (other than cereal-based);Food for infants and young children;Food for infants and young children;1043;934;89.5;82;7.9;27;2.6
Processed cereal-based foods IYC;Food for infants and young children;Food for infants and young children;357;337;94.4;16;4.5;4;1.1
Infant formulae;Food for infants and young children;Food for infants and young children;153;123;80.4;29;19;1;0.7
Follow-on formulae;Food for infants and young children;Food for infants and young children;77;65;84.4;12;15.6;0;0
Food for infants and young children;Food for infants and young children;Food for infants and young children;46;46;100;0;0;0;0
Wheat;Cereals;Cereals;2654;1772;66.8;874;32.9;8;0.3
Rice;Cereals;Cereals;1161;675;58.1;441;38;45;3.9
Rye;Cereals;Cereals;991;585;59;399;40.3;7;0.7
Maize;Cereals;Cereals;355;315;88.7;39;11;1;0.3
Barley;Cereals;Cereals;218;146;67;71;32.6;1;0.5
Buckwheat;Cereals;Cereals;207;163;78.7;24;11.6;20;9.7
Oat;Cereals;Cereals;185;153;82.7;32;17.3;0;0
Cereals n/s;Cereals;Cereals;85;70;82.4;15;17.6;0;0
Millet;Cereals;Cereals;65;51;78.5;13;20;1;1.5
